Compuesto,OF,v1,v2,v3,v4,v5,v6,v7,v8,v9
Hexane,-2.046,2,4,0,0,0,0,0,0,0
Cyclohexane,-2.437,0,0,0,0,0,0,6,0,0
Benzene,-3.836,0,0,0,0,0,6,0,0,0
Heptane,-3.28,2,5,0,0,0,0,7,0,0
Cycloheptane,-3.915,0,0,0,0,0,0,0,0,0
Toluene,-3.569,1,0,0,0,5,0,0,0,0
Octane,-4.496,2,6,0,0,0,0,0,0,0
Cyclooctane,-5.21,0,0,0,0,0,0,8,0,0
Ethylbenzene,-5.028,1,1,0,0,5,1,0,0,0
Nonane,-5.69,2,7,0,0,0,0,0,0,0
Indane,0,0,0,0,0,0,0,0,0,0
Decane,-6.896,2,8,0,0,0,0,0,0,0
1-Methylnaphthalene,0,0,0,0,0,0,0,0,0,0
Undecane,-8.078,2,9,0,0,0,0,0,0,0
