CH3,CH2,CH(CHAIN),C(CHAIN),ACH,AC,CH2(CYCLIC),CH(CYCLIC),C(CYCLIC),Fobj,ln(Fobj)
2.13000055,3.740211971,0,0,0.130144019,-0.000112423,0,0,0,-2.033863772,-2.033863772
0.785130241,4.429802233,0,-4.46803E-05,0.785444468,-0.000112433,0,0,0,-2.591566633,-2.591566633
-8.742E-05,0.029060619,0,-8.07E-05,5.94216952,0,0,0,2.90E-02,-2.448534204,-2.448534204
2.114211249,4.771705049,0,-0.000111336,0.114380854,0,0,0,0,-3.264029689,-3.264029689
0.579667384,5.840931965,0,0.00E+00,0.57990522,-0.000118918,-0.000119638,0,0,-4.28694576,-4.28694576
0.054732653,0.89054381,0,0.00E+00,6.054787351,0,0,0,0.00E+00,-3.697530495,-3.697530495
2.110072089,5.780015209,0,-0.000117292,0.110251318,0,0,0,0.00E+00,-4.473412393,-4.473412393
0.384438603,7.231134596,0,-0.000104518,0.384883014,-0.000117634,0,0,0,-5.873611336,-5.873611336
0.06016726,1.88E+00,0,-9.67575E-05,6.060505784,-3.19308E-05,0,0,-2.01284E-05,-4.82569015,-4.82569015
2.113189341,6.773907664,0,-9.50142E-05,0.113322304,0,-6.73363E-05,0,0,-5.661940166,-5.661940166
0,1.742761782,0,-1.00E-06,6.514498746,0,0,0,0.742760505,-6.741192063,-6.741192063
2.121436099,7.757361667,0,-1.17E-04,1.22E-01,0,0,0,0,-6.831155565,-6.831155565
0,0.379778018,0,-0.000100006,9.240425997,0,0,0,1.38E+00,-9.740889833,-9.740889833
2.132272899,8.735903383,0,0,1.32E-01,-0.000100597,-6.21284E-05,-3.53E-05,0,-8.027864219,-8.027864219
